                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 0.4049,                0.30318,                0.36612,                 0.9065,                0.93486,                0.97916,                0.97174,                0.94379,                0.93114,                0.97526,                0.96638,                0.92092,                0.26908,                0.23172,                0.41757,                0.66533,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.4071,                0.28847,                0.36334,                0.90935,                0.93476,                0.97757,                0.97485,                0.95242,                0.93476,                0.97757,                0.97485,                0.93894,                0.23818,                0.21304,                0.34297,                0.64769,              0.0010496,              0.0010496,              0.0010496
                     51,                0.41428,                0.30921,                0.37563,                0.91323,                0.93678,                 0.9821,                0.98196,                0.96242,                0.93678,                 0.9821,                0.98196,                0.94029,                0.23578,                0.28754,                0.34164,                0.64821,              0.0010298,              0.0010298,              0.0010298
                     52,                0.39216,                0.28566,                0.35826,                0.90118,                0.94722,                 0.9795,                0.98256,                0.96103,                0.94722,                 0.9795,                0.98256,                 0.9423,                0.25184,                0.23007,                0.30717,                0.65175,                0.00101,                0.00101,                0.00101
                     53,                0.41077,                0.30373,                0.37838,                0.91006,                0.94132,                0.96934,                0.97745,                0.95516,                0.94132,                0.96934,                0.97745,                0.93411,                0.26129,                0.21121,                0.32765,                0.65434,              0.0009902,              0.0009902,              0.0009902
                     54,                0.39508,                 0.2805,                0.36348,                0.89668,                0.94179,                0.97761,                0.97866,                 0.9592,                0.93991,                0.97567,                0.97849,                0.94464,                0.24763,                0.18965,                0.30566,                0.65722,              0.0009704,              0.0009704,              0.0009704
                     55,                0.38913,                0.28574,                0.34759,                0.90963,                0.94005,                0.97856,                0.98261,                0.95681,                0.93818,                0.97661,                0.98226,                0.94697,                0.25486,                0.20261,                 0.3191,                 0.6508,              0.0009506,              0.0009506,              0.0009506
                     56,                0.39149,                0.31383,                0.35608,                0.90795,                0.93965,                0.97466,                0.97636,                0.95071,                0.93777,                0.97271,                0.97594,                0.93668,                0.24803,                0.21642,                0.39438,                0.64867,              0.0009308,              0.0009308,              0.0009308
                     57,                0.38278,                0.29178,                0.35343,                0.89177,                0.93675,                0.98152,                0.97565,                0.95499,                0.93675,                0.98152,                0.97704,                0.93955,                0.22673,                0.20276,                0.33671,                0.63468,               0.000911,               0.000911,               0.000911
                     58,                0.38955,                0.29705,                 0.3453,                0.90167,                0.94049,                0.96491,                0.97597,                0.95881,                0.94049,                0.96491,                0.97597,                0.94092,                0.23218,                0.21457,                0.34905,                 0.6389,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.3781,                0.26736,                 0.3366,                 0.8925,                0.93891,                0.97076,                 0.9808,                0.95923,                0.93767,                0.96881,                0.97981,                0.93918,                0.22348,                0.23608,                0.39061,                0.63422,              0.0008714,              0.0008714,              0.0008714
                     60,                0.38325,                0.29621,                0.34872,                0.90015,                 0.9317,                0.98246,                 0.9751,                0.95872,                 0.9317,                0.98246,                 0.9751,                0.93419,                0.22908,                0.23432,                0.31767,                0.63717,              0.0008516,              0.0008516,              0.0008516
